id_processo,processo_vinculado,label,texto
0,0097624-59.2015.8.19.0021,ASSUNTO,criança e adolescente
0,0097624-59.2015.8.19.0021,ASSUNTO,guarda
2,0017125-40.2016.8.09.0051,ASSUNTO,guarda
2,0038419-51.2016.8.09.0051,ASSUNTO,guarda
2,1013008-13.2017.8.26.0008,ASSUNTO,guarda
3,0006507-36.2016.8.09.0051,ASSUNTO,guarda
4,0129185-87.2015.8.09.0051,ASSUNTO,guarda
5,5110574-64.2016.8.09.0051,ASSUNTO,guarda
6,5114694-53.2016.8.09.0051,ASSUNTO,guarda
6,5554254-63.2018.8.09.0051,ASSUNTO,guarda
7,0137447-26.2015.8.09.0051,ASSUNTO,guarda
7,0362814-68.2015.8.09.0051,ASSUNTO,guarda
7,5074585-26.2018.8.09.0051,ASSUNTO,guarda
8,5340569-21.2017.8.09.0014,ASSUNTO,guarda
8,5461072-16.2017.8.09.0000,ASSUNTO,guarda
9,0022358-15.2016.8.09.0052,ASSUNTO,criança e adolescente
9,0022358-15.2016.8.09.0052,ASSUNTO,guarda
10,5023544-20.2018.8.09.0051,ASSUNTO,guarda
11,5548308-69.2018.8.09.0000,ASSUNTO,guarda
12,5227007-83.2018.8.09.0051,ASSUNTO,guarda
12,5290717-43.2019.8.09.0051,ASSUNTO,guarda
16,0415008-16.2013.8.09.0051,ASSUNTO,guarda
16,1006296-17.2015.8.26.0286,ASSUNTO,guarda
16,5412069-02.2018.8.09.0051,ASSUNTO,guarda
17,5133754-34.2017.8.09.0000,ASSUNTO,guarda
18,5465258-48.2018.8.09.0000,ASSUNTO,guarda
19,5518227-40.2018.8.09.0000,ASSUNTO,guarda
20,,ASSUNTO,guarda
21,0124910-30.2018.8.06.0001,ASSUNTO,criança e adolescente
22,5578653-18.2018.8.09.0000,ASSUNTO,guarda
25,5113504-73.2019.8.09.0011,ASSUNTO,criança e adolescente
25,5200883-18.2020.8.09.0011,ASSUNTO,criança e adolescente
25,5113504-73.2019.8.09.0011,ASSUNTO,guarda
26,5140560-55.2019.8.09.0149,ASSUNTO,guarda
27,5305346-19.2019.8.09.0149,ASSUNTO,guarda
28,5276101-34.2017.8.09.0051,ASSUNTO,guarda
28,5306259-27.2019.8.09.0011,ASSUNTO,guarda
28,5548308-69.2018.8.09.0000,ASSUNTO,guarda
29,5515220-44.2019.8.09.0149,ASSUNTO,guarda
30,5537004-80.2019.8.09.0051,ASSUNTO,guarda
31,5659794-66.2019.8.09.0051,ASSUNTO,guarda
32,5055343-13.2020.8.09.0051,ASSUNTO,guarda
33,5085218-21.2019.8.09.0000,ASSUNTO,guarda
35,5148588-04.2020.8.09.0011,ASSUNTO,guarda
36,5164129-77.2020.8.09.0011,ASSUNTO,guarda
36,5164129-77.2020.8.09.0011,ASSUNTO,VIOLÊNCIA DOMÉSTICA
37,0321440-58.2016.8.09.0012,ASSUNTO,criança e adolescente
37,5066779-30.2017.8.09.0000,ASSUNTO,criança e adolescente
37,5200869-34.2020.8.09.0011,ASSUNTO,criança e adolescente
37,5203842-59.2020.8.09.0011,ASSUNTO,criança e adolescente
37,5203924-90.2020.8.09.0011,ASSUNTO,criança e adolescente
37,0281443-68.2016.8.09.0012,ASSUNTO,guarda
37,5066779-30.2017.8.09.0000,ASSUNTO,guarda
37,5194498-54.2020.8.09.0011,ASSUNTO,guarda
37,5203842-59.2020.8.09.0011,ASSUNTO,guarda
38,5113935-10.2019.8.09.0011,ASSUNTO,ALIMENTOS
38,5113935-10.2019.8.09.0011,ASSUNTO,guarda
39,5113935-10.2019.8.09.0011,ASSUNTO,ALIMENTOS
39,5540697-38.2020.8.09.0051,ASSUNTO,ALIMENTOS
39,5113935-10.2019.8.09.0011,ASSUNTO,guarda
39,5540697-38.2020.8.09.0051,ASSUNTO,guarda
40,5151276-74.2017.8.09.0000,ASSUNTO,guarda
41,5122927-63.2021.8.09.0051,ASSUNTO,guarda
42,5156253-37.2021.8.09.0011,ASSUNTO,guarda
42,5450278-06.2019.8.09.0051,ASSUNTO,guarda
43,2272186-71.2021.8.26.0000,ASSUNTO,guarda
43,5113935-10.2019.8.09.0011,ASSUNTO,guarda
43,5650915-02.2021.8.09.0051,ASSUNTO,guarda
44,,ASSUNTO,guarda
45,5101825-48.2022.8.09.0051,ASSUNTO,guarda
46,,ASSUNTO,guarda
47,5149333-87.2022.8.09.0051,ASSUNTO,guarda
48,5113935-10.2019.8.09.0011,ASSUNTO,guarda
48,5189443-31.2022.8.09.0051,ASSUNTO,guarda
49,,ASSUNTO,guarda
51,0005529-93.2013.8.10.0000,ASSUNTO,guarda
51,5119526-15.2021.8.09.0000,ASSUNTO,guarda
52,5169946-17.2020.8.09.0143,ASSUNTO,guarda
52,5490293-11.2017.8.09.0011,ASSUNTO,guarda
53,0005529-93.2013.8.10.0000,ASSUNTO,guarda
53,0327723-64.2010.8.19.0001,ASSUNTO,guarda
53,5038600-93.2018.8.09.0051,ASSUNTO,guarda
54,5548483-88.2022.8.09.0011,ASSUNTO,guarda
55,5058672-62.2022.8.09.0051,ASSUNTO,criança e adolescente
55,5066291-09.2023.8.09.0051,ASSUNTO,criança e adolescente
55,5113935-10.2019.8.09.0011,ASSUNTO,guarda
56,5069715-59.2023.8.09.0051,ASSUNTO,criança e adolescente
56,5113935-10.2019.8.09.0011,ASSUNTO,guarda
57,5058672-62.2022.8.09.0051,ASSUNTO,criança e adolescente
57,5060042-42.2023.8.09.0051,ASSUNTO,guarda
57,5082298-76.2023.8.09.0051,ASSUNTO,guarda
58,5058672-62.2022.8.09.0051,ASSUNTO,criança e adolescente
58,5060711-95.2023.8.09.0051,ASSUNTO,criança e adolescente
58,5060711-95.2023.8.09.0051,ASSUNTO,guarda
58,5113935-10.2019.8.09.0011,ASSUNTO,guarda
59,5058672-62.2022.8.09.0051,ASSUNTO,criança e adolescente
59,5060875-60.2023.8.09.0051,ASSUNTO,criança e adolescente
59,5060875-60.2023.8.09.0051,ASSUNTO,guarda
59,5113935-10.2019.8.09.0011,ASSUNTO,guarda
60,5058672-62.2022.8.09.0051,ASSUNTO,criança e adolescente
60,5113935-10.2019.8.09.0011,ASSUNTO,guarda
61,2272186-71.2021.8.26.0000,ASSUNTO,guarda
61,5063958-84.2023.8.09.0051,ASSUNTO,guarda
61,5065712-87.2018.8.09.0002,ASSUNTO,guarda
61,5113935-10.2019.8.09.0011,ASSUNTO,guarda
62,5058672-62.2022.8.09.0051,ASSUNTO,criança e adolescente
62,5061253-16.2023.8.09.0051,ASSUNTO,criança e adolescente
62,5113935-10.2019.8.09.0011,ASSUNTO,guarda
63,0107678-96.2017.8.09.0052,ASSUNTO,criança e adolescente
63,5058672-62.2022.8.09.0051,ASSUNTO,criança e adolescente
63,0107678-96.2017.8.09.0052,ASSUNTO,guarda
63,5153148-58.2023.8.09.0051,ASSUNTO,guarda
64,0038522-95.2011.8.16.0000,ASSUNTO,guarda
64,0440266-33.2010.8.09.0051,ASSUNTO,guarda
65,0286164-19.2011.8.09.0051,ASSUNTO,guarda
65,0829703-50.2017.8.20.5001,ASSUNTO,guarda
66,0165989-89.2019.8.19.0001,ASSUNTO,guarda
66,5325929-89.2016.8.09.0000,ASSUNTO,guarda
67,2242602-66.2015.8.26.0000,ASSUNTO,guarda
69,0011553-74.2014.8.09.0051,ASSUNTO,guarda
69,1010062-66.2018.8.11.0003,ASSUNTO,guarda
72,0447159-40.2010.8.09.0051,ASSUNTO,guarda
74,5307552-36.2017.8.09.0000,ASSUNTO,guarda
75,0026939-52.2010.8.26.0071,ASSUNTO,guarda
75,5321161-86.2017.8.09.0000,ASSUNTO,guarda
80,0363145-89.2011.8.09.0051,ASSUNTO,guarda
80,2111771-85.2019.8.26.0000,ASSUNTO,guarda
83,5578232-28.2018.8.09.0000,ASSUNTO,guarda
84,0804490-76.2015.8.12.0008,ASSUNTO,guarda
84,5048194-56.2019.8.09.0000,ASSUNTO,guarda
87,0407235-73.2013.8.09.0000,ASSUNTO,guarda
89,2147862-19.2015.8.26.0000,ASSUNTO,guarda
89,9128065-45.2009.8.26.0000,ASSUNTO,guarda
90,5426775-75.2020.8.09.0000,ASSUNTO,guarda
91,5383789-72.2021.8.09.0000,ASSUNTO,guarda
92,0205603-47.2007.8.09.0051,ASSUNTO,guarda
93,,ASSUNTO,guarda
97,0808239-98.1993.8.26.0100,ASSUNTO,guarda
98,,ASSUNTO,guarda
99,0601482-71.2008.8.09.0051,ASSUNTO,guarda
